FID,DATE,DAY,TIME,PRECINCT,REPORT_NO,ADDRESS,CITY,STATE,X,Y,Location_1
222,01/19/2015 12:00:00 AM,MON,2:00:00 AM,8,1501190029,161XX HARLOW,DETROIT,MI,-83.215255,42.408721,
223,05/06/2015 12:00:00 AM,WED,8:00:00 PM,4,1505060328,26XX EDSEL,DETROIT,MI,-83.047997,42.331681,
224,09/19/2015 12:00:00 AM,SAT,2:00:00 AM,11,1509190036,184XX MT. ELLIOTT,DETROIT,MI,-83.038677,42.428554,
225,03/10/2015 12:00:00 AM,TUE,8:00:00 PM,11,1503100208,17XX E. 7 MILE,DETROIT,MI,-83.084916,42.432822,
226,08/20/2015 12:00:00 AM,THUR,8:00:00 PM,7,1508200381,80XX GRATIOT,DETROIT,MI,-83.01452,42.379086,
227,12/14/2015 12:00:00 AM,MON,2:00:00 AM,9,1512140047,196XX HOYT,DETROIT,MI,-82.980449,42.440328,
228,02/26/2015 12:00:00 AM,THUR,8:00:00 PM,7,1502260282,97XX HARPER,DETROIT,MI,-83.006323,42.393029,
229,12/14/2015 12:00:00 AM,MON,2:00:00 AM,9,1512140047,196XX HOYT,DETROIT,MI,-82.980449,42.440328,
230,05/22/2015 12:00:00 AM,FRI,2:00:00 AM,8,1505220342,199XX STOUT,DETROIT,MI,-83.24399,42.437825,
231,05/08/2015 12:00:00 AM,FRI,7:00:00 PM,9,1505080309, CRAFT AND DUCHESS,DETROIT,MI,-82.96164,42.417524,
232,11/23/2015 12:00:00 AM,MON,2:00:00 AM,8,1511230031,205XX BENTLER,DETROIT,MI,-83.253883,42.442004,
233,10/20/2015 12:00:00 AM,TUE,7:00:00 PM,12,1510200350, JOHN R AND  WINCHESTER,DETROIT,MI,-83.10276,42.444542,
234,06/25/2015 12:00:00 AM,THUR,7:00:00 PM,4,1506250317,11XX ETHEL,DETROIT,MI,-83.047997,42.331681,
235,01/04/2015 12:00:00 AM,SUN,2:00:00 AM,1,1501040023,2XX W. CONGRESS,DETROIT,MI,-83.048239,42.329125,
236,03/14/2015 12:00:00 AM,SAT,7:00:00 PM,11,1503140284,125XX JOS CAMPAU,DETROIT,MI,-83.065692,42.408438,
237,09/08/2015 12:00:00 AM,TUE,2:00:00 AM,10,1509170200,48XX CORTLAND,DETROIT,MI,-83.136498,42.379819,
238,03/05/2015 12:00:00 AM,THUR,7:00:00 PM,11,1503050266,134XX EUREKA,DETROIT,MI,-83.055403,42.416407,
239,03/26/2015 12:00:00 AM,THUR,2:00:00 AM,11,1503260033,18XX E. 8 MILE,DETROIT,MI,-83.084493,42.446982,
240,11/29/2015 12:00:00 AM,SUN,7:00:00 PM,6,1511290027,139XX BRAMELL,DETROIT,MI,-83.264785,42.386171,
241,11/19/2015 12:00:00 AM,THUR,7:00:00 PM,9,1511190324,149XX GLENWOOD,DETROIT,MI,-82.969019,42.430748,
242,03/07/2015 12:00:00 AM,SAT,2:00:00 AM,10,1503070024,84XX FENKELL,DETROIT,MI,-83.153503,42.4026,
243,01/11/2015 12:00:00 AM,SUN,7:00:00 PM,11,1501110198,15XX E. STATE FAIR,DETROIT,MI,-83.088539,42.439966,
244,08/27/2015 12:00:00 AM,THUR,2:00:00 AM,2,1508270025,89XX COYLE,DETROIT,MI,-83.192802,42.359792,
245,01/11/2015 12:00:00 AM,SUN,7:00:00 PM,11,1501110198,15XX E. STATE FAIR,DETROIT,MI,-83.088539,42.439966,
246,12/16/2015 12:00:00 AM,WED,7:00:00 PM,8,1512160368,191XX W. MCNICHOLS,DETROIT,MI,-83.229909,42.415371,
247,11/07/2015 12:00:00 AM,SAT,2:00:00 AM,2,1511070040,WYOMING AND I-96,DETROIT,MI,-83.15897,42.385444,
248,02/02/2015 12:00:00 AM,MON,7:00:00 PM,8,1502020194,191XX GRANDVILLE,DETROIT,MI,-83.232127,42.430466,
249,12/31/2015 12:00:00 AM,THUR,1:00:00 AM,4,1512310027, BURTON AND MICHIGAN,DETROIT,MI,-83.124468,42.331143,
250,03/20/2015 12:00:00 AM,FRI,7:00:00 PM,10,1503200288,34XX W. CHICAGO,DETROIT,MI,-83.118523,42.373782,
251,04/26/2015 12:00:00 AM,SUN,1:00:00 AM,11,1504260020, JOS CAMPAU AND  NEVADA,DETROIT,MI,-83.047997,42.331681,
252,08/29/2015 12:00:00 AM,SAT,7:00:00 PM,7,1508290291,37XX E. VERNOR,DETROIT,MI,-83.018041,42.354832,
253,05/02/2015 12:00:00 AM,SAT,7:00:00 PM,3,1505020261,4XX E. WARREN,DETROIT,MI,-83.059304,42.35888,
254,01/14/2015 12:00:00 AM,WED,1:00:00 AM,6,1501140015, RIVERVIEW AND FULLERTON,DETROIT,MI,-83.27344,42.378943,
255,12/21/2015 12:00:00 AM,MON,7:00:00 PM,6,1512210275,76XX VAUGHN,DETROIT,MI,-83.236708,42.346984,
256,01/05/2015 12:00:00 AM,MON,1:00:00 AM,9,1501050033,140XX LIBERAL,DETROIT,MI,-82.979072,42.439697,
257,07/14/2015 12:00:00 AM,TUE,6:00:00 PM,7,1507140314, E. ALEXANDRINE AND CHENE,DETROIT,MI,-83.03652,42.359264,
258,07/12/2015 12:00:00 AM,SUN,1:00:00 AM,6,1507120036,166XX W. WARREN,DETROIT,MI,-83.209326,42.343464,
259,03/14/2015 12:00:00 AM,SAT,6:00:00 PM,5,1503140271, E. WARREN AND BEWICK,DETROIT,MI,-82.994529,42.38319,
260,12/30/2014 12:00:00 AM,TUE,6:00:00 PM,11,1412300302, HAWTHORNE AND E. MARGARET,DETROIT,MI,-83.092371,42.42646,
261,08/13/2015 12:00:00 AM,THUR,1:00:00 AM,8,1508130020,234XX FENKELL,DETROIT,MI,-83.26912,42.400249,
262,11/14/2015 12:00:00 AM,SAT,6:00:00 PM,6,1511140464, PIERSON AND SAWYER,DETROIT,MI,-83.243677,42.346682,
263,08/19/2015 12:00:00 AM,WED,1:00:00 AM,4,1508190029,25XX CENTRAL,DETROIT,MI,-83.126183,42.315185,
264,12/21/2015 12:00:00 AM,MON,6:00:00 PM,10,1512210257,116XX YELLOWSTONE,DETROIT,MI,-83.133847,42.375296,
265,12/07/2015 12:00:00 AM,MON,1:00:00 AM,4,1512070012,58XX LUMLEY,DETROIT,MI,-83.144941,42.336373,
266,11/09/2015 12:00:00 AM,MON,6:00:00 PM,2,1511090340,120XX APPOLINE,DETROIT,MI,-83.169483,42.375968,
267,05/14/2015 12:00:00 AM,THUR,1:00:00 AM,7,1505140028,7XX E. GRAND BLVD,DETROIT,MI,-83.01198,42.362664,
268,08/23/2015 12:00:00 AM,SUN,6:00:00 PM,8,1508230255,185XX PIERSON,DETROIT,MI,-83.247184,42.42599,
269,08/17/2015 12:00:00 AM,MON,6:00:00 PM,10,1508170365,40XX W. DAVISON,DETROIT,MI,-83.133552,42.388766,
270,05/02/2015 12:00:00 AM,SAT,1:00:00 AM,11,1505020029,75XX PALMETTO,DETROIT,MI,-83.025823,42.40814,
271,02/07/2015 12:00:00 AM,SAT,1:00:00 AM,8,1502070015,248XX W. 8 MILE,DETROIT,MI,-83.286701,42.442523,
272,06/18/2015 12:00:00 AM,THUR,6:00:00 PM,7,1506180366,6XX ST. AUBIN,DETROIT,MI,-83.029124,42.338203,
273,09/07/2015 12:00:00 AM,MON,1:00:00 AM,4,1509070025,81XX MICHIGAN,DETROIT,MI,-83.14245,42.330795,
274,06/27/2015 12:00:00 AM,SAT,6:00:00 PM,4,1506270247,65XX EDSEL FORD,DETROIT,MI,-83.128791,42.336356,
275,02/14/2015 12:00:00 AM,SAT,1:00:00 AM,3,1502140009,82XX OAKLAND,DETROIT,MI,-83.068389,42.379581,
276,08/23/2015 12:00:00 AM,SUN,5:00:00 PM,9,1508230240, PROMENADE AND DICKERSON,DETROIT,MI,-82.97872,42.411213,
277,08/20/2015 12:00:00 AM,THUR,1:00:00 AM,2,1508200019,88XX LAUDER,DETROIT,MI,-83.189369,42.359092,
278,09/02/2015 12:00:00 AM,WED,5:00:00 PM,7,1509020287, ST. CYRIL AND MARJORIE,DETROIT,MI,-83.025227,42.399491,
279,06/01/1979 12:00:00 AM,FRI,12:00:00 AM,7,1409290096, GRATIOT AND ELMWOOD,DETROIT,MI,-83.047997,42.331681,
280,08/06/2015 12:00:00 AM,THUR,5:00:00 PM,9,1508060257,106XX MEUSE,DETROIT,MI,-82.941294,42.421577,
281,03/28/2015 12:00:00 AM,SAT,5:00:00 PM,2,1503280261,121XX STRATHMOOR,DETROIT,MI,-83.186704,42.376822,
282,01/19/2015 12:00:00 AM,MON,12:00:00 AM,2,1501190010,104XX PLYMOUTH,DETROIT,MI,-83.164145,42.37339,
283,03/01/2015 12:00:00 AM,SUN,12:00:00 AM,9,1503010007,142XX MAIDEN,DETROIT,MI,-82.969124,42.407861,
284,10/28/2015 12:00:00 AM,WED,5:00:00 PM,6,1510280283,164XX PLYMOUTH,DETROIT,MI,-83.207787,42.372427,
285,08/10/2015 12:00:00 AM,MON,12:00:00 AM,9,1508100001,152XX HAZELRIDGE,DETROIT,MI,-82.964111,42.424819,
286,02/02/2015 12:00:00 AM,MON,5:00:00 PM,8,1502020176,182XX FENTON,DETROIT,MI,-83.282638,42.422171,
287,05/15/2015 12:00:00 AM,FRI,12:00:00 AM,12,1505150006,186XX HUBBELL,DETROIT,MI,-83.189772,42.427451,
288,03/15/2015 12:00:00 AM,SUN,5:00:00 PM,12,1503160300,186XX ROBSON,DETROIT,MI,-83.193621,42.427417,
289,09/03/2015 12:00:00 AM,THUR,12:00:00 AM,3,1509030007,42XX 18TH,DETROIT,MI,-83.088271,42.342461,
290,09/02/2015 12:00:00 AM,WED,5:00:00 PM,11,1509020296,201XX MARX,DETROIT,MI,-83.084479,42.443072,
291,07/19/2015 12:00:00 AM,SUN,12:00:00 AM,8,1507190010,194XX HEYDEN,DETROIT,MI,-83.241124,42.433211,
292,04/12/2015 12:00:00 AM,SUN,5:00:00 PM,4,1504120238,33XX S. EDSEL,DETROIT,MI,-83.163954,42.264207,
293,05/09/2015 12:00:00 AM,SAT,12:00:00 AM,12,1505090013,198XX CRANBROOK,DETROIT,MI,-83.160158,42.437225,
294,06/29/2015 12:00:00 AM,MON,12:00:00 AM,4,1506290021,23XX LAWNDALE,DETROIT,MI,-83.132829,42.309425,
295,12/16/2015 12:00:00 AM,WED,12:00:00 AM,6,1512160007,89XX ST. MARYS,DETROIT,MI,-83.204314,42.359146,
