FID,DATE,DAY,TIME,PRECINCT,REPORT_NO,ADDRESS,CITY,STATE,X,Y,Location_1
77,09/29/2015 12:00:00 AM,TUE,11:00:00 PM,9,1509300007, PEORIA AND ROCHELLE,DETROIT,MI,-82.97698,42.423033,
78,08/20/2015 12:00:00 AM,THUR,1:00:00 PM,6,1508200215,88XX MANSFIELD,DETROIT,MI,-83.203123,42.358397,
79,02/24/2015 12:00:00 AM,TUE,11:00:00 PM,9,1502240311,102XX GREENSBORO,DETROIT,MI,-82.954404,42.413689,
80,11/16/2015 12:00:00 AM,TUE,12:00:00 PM,3,1511160199,1XX BLAINE,DETROIT,MI,-83.081345,42.378934,
81,09/02/2015 12:00:00 AM,TUE,11:00:00 PM,6,1509020005,120XX MONTROSE,DETROIT,MI,-83.199979,42.375808,
82,05/02/2015 12:00:00 AM,SAT,12:00:00 PM,9,1505020137,143XX MADDELEIN,DETROIT,MI,-82.975539,42.436022,
83,06/17/2015 12:00:00 AM,WED,11:00:00 PM,8,1506180004,143XX PREVOST,DETROIT,MI,-83.202599,42.392938,
84,08/23/2015 12:00:00 AM,SUN,11:00:00 PM,9,1508240013,146XX BRINGARD,DETROIT,MI,-82.97309,42.446166,
85,05/25/2015 12:00:00 AM,MON,12:00:00 PM,9,1505250174,189XX SCHOENHERR,DETROIT,MI,-82.985018,42.433496,
86,03/25/2015 12:00:00 AM,WED,11:00:00 PM,2,1503250360,157XX ARDMORE,DETROIT,MI,-83.184655,42.406611,
87,03/15/2015 12:00:00 AM,SUN,12:00:00 PM,11,1503150164,193XX OMIRA,DETROIT,MI,-83.096053,42.435295,
88,03/31/2015 12:00:00 AM,TUE,11:00:00 PM,12,1503310414,159XX WOODINGHAM,DETROIT,MI,-83.149638,42.408452,
89,12/22/2015 12:00:00 AM,TUE,12:00:00 PM,11,1512220137,196XX CAMERON,DETROIT,MI,-83.093812,42.437613,
90,09/05/2015 12:00:00 AM,SAT,11:00:00 PM,12,1509050049,161XX STEEL,DETROIT,MI,-83.171898,42.410128,
91,06/28/2015 12:00:00 AM,SUN,12:00:00 PM,7,1506280102,40XX SEYBURN,DETROIT,MI,-83.010253,42.370561,
92,01/29/2015 12:00:00 AM,THUR,11:00:00 PM,12,1501300001,162XX LIVERNOIS,DETROIT,MI,-83.140728,42.411528,
93,10/20/2015 12:00:00 AM,TUE,11:00:00 AM,4,1510200161, LANSING AND TOLEDO,DETROIT,MI,-83.10055,42.322353,
94,04/07/2015 12:00:00 AM,MON,11:00:00 PM,12,1504070002,162XX LILAC,DETROIT,MI,-83.146874,42.411151,
95,10/12/2015 12:00:00 AM,MON,11:00:00 AM,12,1510120117, MEYERS AND MARGARETA,DETROIT,MI,-83.17055,42.427634,
96,03/16/2015 12:00:00 AM,MON,11:00:00 PM,6,1503170032,187XX W. WARREN,DETROIT,MI,-83.22407,42.343285,
97,12/08/2015 12:00:00 AM,TUE,11:00:00 AM,2,1512080151,103XX WYOMING,DETROIT,MI,-83.158393,42.370819,
98,09/24/2015 12:00:00 AM,THUR,11:00:00 AM,9,1509240149,154XX GRATIOT,DETROIT,MI,-82.968401,42.449087,
99,06/26/2015 12:00:00 AM,FRI,11:00:00 PM,4,1506260384,19XX HUBBARD,DETROIT,MI,-83.092103,42.322032,
100,05/05/2015 12:00:00 AM,TUE,11:00:00 AM,5,1505060007,173XX E. WARREN,DETROIT,MI,-82.926586,42.407229,
101,06/26/2015 12:00:00 AM,FRI,11:00:00 PM,4,1506260384,19XX HUBBARD,DETROIT,MI,-83.092103,42.322032,
102,03/19/2015 12:00:00 AM,THUR,11:00:00 AM,11,1503190131,202XX YACAMA,DETROIT,MI,-83.097269,42.443254,
103,06/26/2015 12:00:00 AM,FRI,11:00:00 PM,4,1506260384,19XX HUBBARD,DETROIT,MI,-83.092103,42.322032,
104,03/06/2015 12:00:00 AM,FRI,11:00:00 PM,6,1503060365,225XX PLYMOUTH,DETROIT,MI,-83.262391,42.371613,
105,10/21/2015 12:00:00 AM,WED,10:00:00 AM,4,1404280060, JOHN KRONK AND CENTRAL,DETROIT,MI,-83.131638,42.322813,
106,06/21/2015 12:00:00 AM,SUN,11:00:00 PM,1,1506220005,4XX MONROE,DETROIT,MI,-83.043215,42.334644,
107,03/29/2015 12:00:00 AM,SUN,11:00:00 PM,10,1503300016,81XX CHALFONTE,DETROIT,MI,-83.150399,42.400328,
108,04/03/2015 12:00:00 AM,FRI,10:00:00 AM,3,1504030109, WOODWARD AND  PHILADELPHIA,DETROIT,MI,-83.078457,42.378,
109,10/27/2015 12:00:00 AM,TUE,10:00:00 AM,6,1510270126,113XX ASBURY PARK,DETROIT,MI,-83.207168,42.370448,
110,12/16/2015 12:00:00 AM,WED,11:00:00 PM,3,1512170002,XX KENILWORTH,DETROIT,MI,-83.081268,42.384916,
111,10/16/2015 12:00:00 AM,FRI,10:00:00 AM,4,1510160106,20XX MORRELL,DETROIT,MI,-83.101231,42.319176,
112,07/18/2015 12:00:00 AM,SAT,10:00:00 PM,10,1507180334, DEXTER AND BOSTON,DETROIT,MI,-83.120819,42.374891,
113,07/14/2015 12:00:00 AM,TUE,10:00:00 AM,3,1507140147,25XX MCGRAW,DETROIT,MI,-83.095464,42.356446,
114,06/20/2015 12:00:00 AM,SAT,10:00:00 PM,10,1506200292, DEXTER AND WEBB,DETROIT,MI,-83.124061,42.379643,
115,09/24/2015 12:00:00 AM,TUE,10:00:00 AM,4,1508100169,59XX MICHIGAN,DETROIT,MI,-83.115899,42.331142,
116,09/05/2015 12:00:00 AM,SAT,10:00:00 PM,2,1509050347, GREENFIELD AND  JEFFRIES SERVICE DRIVE,DETROIT,MI,-83.047997,42.331681,
117,10/13/2015 12:00:00 AM,TUE,10:00:00 AM,6,1504070325,65XX GREENFILED,DETROIT,MI,-83.196236,42.339256,
118,03/29/2015 12:00:00 AM,SUN,10:00:00 PM,9,1503290303, GREINER AND DRESDEN,DETROIT,MI,-82.999441,42.427342,
119,03/24/2015 12:00:00 AM,TUE,10:00:00 AM,7,1503240137,8XX ST. AUBIN,DETROIT,MI,-83.029445,42.338694,
120,05/17/2015 12:00:00 AM,SUN,10:00:00 PM,6,1505170329, HEYDEN AND DOVER,DETROIT,MI,-83.23838,42.359303,
121,07/12/2005 12:00:00 AM,SUN,10:00:00 AM,3,1507120044,83XX THIRD,DETROIT,MI,-83.083584,42.374412,
122,04/29/2015 12:00:00 AM,WED,10:00:00 PM,4,1504290341, LARKINS AND KIRKWOOD,DETROIT,MI,-83.138178,42.341413,
123,12/08/2015 12:00:00 AM,TUE,10:00:00 AM,2,1512080112,97XX WYOMING,DETROIT,MI,-83.158239,42.36789,
124,07/27/2015 12:00:00 AM,MON,10:00:00 PM,10,1507270432, SCHOOLCRAFT AND WYOMING,DETROIT,MI,-83.159081,42.388513,
125,04/03/2015 12:00:00 AM,FRI,9:00:00 AM,6,1504030112, WESTBROOK AND  KENDALL,DETROIT,MI,-83.250138,42.388411,
126,12/13/2015 12:00:00 AM,SUN,10:00:00 PM,12,1512130364, W. OUTER DR. AND CLARITA,DETROIT,MI,-83.17563,42.429361,
127,10/05/2015 12:00:00 AM,MON,9:00:00 AM,11,1510050105,1XX E. ARIZONA,DETROIT,MI,-83.099157,42.419449,
128,01/17/2015 12:00:00 AM,SAT,10:00:00 PM,2,1501170289,100XX PLYMOUTH,DETROIT,MI,-83.158672,42.373517,
129,05/21/2015 12:00:00 AM,THUR,9:00:00 AM,10,1505210115,63XX 30TH,DETROIT,MI,-83.116429,42.350134,
130,05/23/2015 12:00:00 AM,SAT,10:00:00 PM,9,1505230322,113XX E. MCNICHOLS,DETROIT,MI,-83.008819,42.419862,
131,01/12/2015 12:00:00 AM,MON,9:00:00 AM,6,1501120096,69XX FAUST,DETROIT,MI,-83.220732,42.341169,
132,06/08/2015 12:00:00 AM,MON,10:00:00 PM,12,1506080408,165XX SNOWDEN,DETROIT,MI,-83.17745,42.411909,
133,11/13/2015 12:00:00 AM,FRI,8:00:00 AM,5,1511130083, CADIEUX AND CHANDLER PARK,DETROIT,MI,-82.933098,42.411103,
134,02/26/2015 12:00:00 AM,THUR,10:00:00 PM,9,1502260314,165XX TACOMA,DETROIT,MI,-82.949114,42.441982,
135,06/21/2015 12:00:00 AM,SUN,10:00:00 PM,12,1506220009,168XX LILAC,DETROIT,MI,-83.147048,42.415492,
136,12/17/2015 12:00:00 AM,THUR,8:00:00 AM,2,1512170085, INTERVALE AND MEYERS,DETROIT,MI,-83.16885,42.391423,
137,12/15/2015 12:00:00 AM,TUE,8:00:00 AM,4,1512150072,27XX DEACON,DETROIT,MI,-83.047997,42.331681,
138,12/21/2015 12:00:00 AM,MON,10:00:00 PM,8,1512210314,168XX WARWICK,DETROIT,MI,-83.229198,42.414201,
139,02/06/2015 12:00:00 AM,FRI,8:00:00 AM,11,1502060079,50XX SOBIESKI,DETROIT,MI,-83.051665,42.410209,
140,04/24/2015 12:00:00 AM,FRI,10:00:00 PM,12,1504240383,172XX APPOLINE,DETROIT,MI,-83.171194,42.417705,
141,04/21/2015 12:00:00 AM,TUE,8:00:00 AM,3,1504210070,75XX MELROSE,DETROIT,MI,-83.064549,42.375903,
142,04/13/2015 12:00:00 AM,MON,10:00:00 PM,8,1504130444,173XX COOLEY,DETROIT,MI,-83.261453,42.416922,
143,05/15/2015 12:00:00 AM,FRI,7:00:00 AM,3,1505150070, MCGRAW AND WABASH,DETROIT,MI,-83.090347,42.358462,
144,06/18/2015 12:00:00 AM,THUR,6:00:00 AM,2,1506180060, STRATHMOOR AND CHALFONTE,DETROIT,MI,-83.187657,42.399664,
145,12/10/2015 12:00:00 AM,THUR,10:00:00 PM,11,1512100041,174XX FLEMING,DETROIT,MI,-83.079252,42.421171,
146,08/08/2015 12:00:00 AM,SAT,6:00:00 AM,12,1508080080, WOODWARD AND DAKOTA,DETROIT,MI,-83.1059,42.418711,
147,10/21/2015 12:00:00 AM,WED,10:00:00 PM,9,1510210406,191XX WESTPHALIA,DETROIT,MI,-82.992445,42.435303,
148,12/20/2014 12:00:00 AM,SAT,6:00:00 AM,9,1412200262,138XX MANNING,DETROIT,MI,-82.981696,42.440728,
149,09/09/2015 12:00:00 AM,WED,6:00:00 AM,12,1509090366,162XX GRIGGS,DETROIT,MI,-83.163329,42.411217,
150,02/13/2015 12:00:00 AM,FRI,6:00:00 AM,9,1502130044,180XX TEPPERT,DETROIT,MI,-83.008099,42.427572,
151,11/17/2014 12:00:00 AM,MON,6:00:00 AM,4,1411170051,41XX CICOTTE,DETROIT,MI,-83.122998,42.33022,
152,01/17/2015 12:00:00 AM,SAT,5:00:00 AM,9,1501170045,137XX LINNHURST,DETROIT,MI,-82.983726,42.431325,
153,07/19/2015 12:00:00 AM,SUN,5:00:00 AM,3,1507190052,30XX WILLIAMS,DETROIT,MI,-83.08947,42.333391,
154,12/18/2015 12:00:00 AM,FRI,5:00:00 AM,7,1512180052,36XX MEDBURY,DETROIT,MI,-83.034537,42.377016,
155,03/12/2015 12:00:00 AM,THUR,5:00:00 AM,6,1503120142,92XX PATTON,DETROIT,MI,-83.242136,42.361778,
156,08/16/2015 12:00:00 AM,SUN,5:00:00 AM,6,1508160075,93XX STOUT,DETROIT,MI,-83.239574,42.363051,
157,04/29/2015 12:00:00 AM,WED,4:00:00 AM,8,1504290049, CLARITA AND RIVERVIEW,DETROIT,MI,-83.275309,42.426633,
158,07/01/2015 12:00:00 AM,WED,4:00:00 AM,10,1507010377, FENKELL AND TULLER,DETROIT,MI,-83.147217,42.402613,
159,12/11/2015 12:00:00 AM,FRI,4:00:00 AM,9,1512110059,120XX NASHVILLE,DETROIT,MI,-82.997413,42.418316,
160,08/22/2015 12:00:00 AM,SAT,4:00:00 AM,6,1508220042,128XX METTETAL,DETROIT,MI,-83.206401,42.382389,
161,09/03/2015 12:00:00 AM,THUR,4:00:00 AM,7,1509030058,38XX HOLCOMB,DETROIT,MI,-82.996485,42.371838,
162,09/06/2015 12:00:00 AM,SAT,4:00:00 AM,7,1509060066,48XX MELDRUM,DETROIT,MI,-83.026321,42.370248,
163,09/06/2015 12:00:00 AM,SAT,4:00:00 AM,7,1509060066,48XX MELDRUM,DETROIT,MI,-83.026321,42.370248,
164,07/06/2015 12:00:00 AM,MON,10:00:00 PM,11,1507060366,197XX VAN DYKE,DETROIT,MI,-83.024462,42.439962,
165,10/25/2015 12:00:00 AM,SUN,4:00:00 AM,7,1510250066,59XX MAXWELL,DETROIT,MI,-83.015873,42.384053,
166,05/14/2015 12:00:00 AM,THUR,10:00:00 PM,11,1505140377,199XX GALLAGHER,DETROIT,MI,-83.070631,42.441182,
167,01/18/2015 12:00:00 AM,SUN,10:00:00 PM,3,1501180285,20XX SELDEN,DETROIT,MI,-83.080224,42.342897,
168,01/15/2015 12:00:00 AM,THUR,4:00:00 AM,11,1501150029,61XX CASMERE,DETROIT,MI,-83.039922,42.408541,
169,06/06/2015 12:00:00 AM,SAT,10:00:00 PM,8,1506060331,222XX GRAND RIVER,DETROIT,MI,-83.260058,42.417519,
170,09/07/2015 12:00:00 AM,MON,4:00:00 AM,9,1509070051,127XX E. 7 MILE,DETROIT,MI,-82.994727,42.434752,
171,08/08/2015 12:00:00 AM,SAT,10:00:00 PM,5,1508080385,48XX AUDUBON,DETROIT,MI,-82.936698,42.401563,
172,06/22/2015 12:00:00 AM,MON,10:00:00 PM,7,1506220366,5XX CHENE,DETROIT,MI,-83.023923,42.339861,
173,03/01/2015 12:00:00 AM,SUN,4:00:00 AM,9,1503010058,98XX CHALMERS,DETROIT,MI,-82.969005,42.411731,
174,12/19/2015 12:00:00 AM,SAT,3:00:00 AM,6,1512190064, BLACKSTONE AND W DAVISON,DETROIT,MI,-83.248668,42.383722,
175,06/08/2015 12:00:00 AM,MON,10:00:00 PM,4,1506080412,5XX W. GRAND BLVD,DETROIT,MI,-83.089735,42.323528,
176,12/19/2015 12:00:00 AM,SAT,3:00:00 AM,6,1512190064, BLACKSTONE AND W DAVISON,DETROIT,MI,-83.248668,42.383722,
