FID,DATE,DAY,TIME,PRECINCT,REPORT_NO,LOCATION
228,10/3/2016,MON,9:00:00 PM,6,1610030373,"200XX W. WARREN
DETROIT, MI
(42.34351996, -83.20667997)"
229,10/4/2016,TUES,10:00:00 AM,9,1610040147,"141XX SPRING GARDEN
DETROIT, MI
(42.42801699, -82.96889421)"
230,10/4/2016,TUES,8:00:00 PM,11,1610040369,"201XX VEACH
DETROIT, MI
(42.401088, -82.92513375)"
231,10/5/2016,WED,11:00:00 PM,8,1610050007,"194XX MONTROSE
DETROIT, MI
(42.37117227, -83.19982624)"
232,10/6/2016,THURS,10:00:00 AM,2,1610060112,"99XX SUSSEX
DETROIT, MI
(42.43200629, -83.19615118)"
233,10/6/2016,THURS,9:30:00 PM,7,1610070001,"34XX BEALS
DETROIT, MI
(42.401088, -82.92513375)"
234,10/7/2016,FRI,10:20:00 PM,10,1610070373,"29XX FULLERTON
DETROIT, MI
(42.38192603, -83.13637015)"
235,10/9/2016,SUN,4:00:00 PM,2,1610090185,"142XX FENKELL
DETROIT, MI
(42.33168, -83.048)"
236,10/9/2016,SUN,10:30:00 PM,7,1610090294,"88XX MOFFAT
DETROIT, MI
(42.38229634, -83.00460829)"
237,10/10/2016,MON,5:30:00 PM,8,1610100290,"W. 7 MILE AND MONTROSE
DETROIT, MI
(42.430374, -83.2020345)"
238,10/12/2016,WED,11:30:00 PM,10,1610130005,"16XX GLADSTONE
DETROIT, MI
(42.37069525, -83.1067128)"
239,10/14/2016,FRI,4:30:00 PM,8,1610140264,"175XX FIELDING
DETROIT, MI
(42.35998216, -83.24082603)"
240,10/14/2016,FRI,4:30:00 PM,8,1610140264,"175XX FIELDING
DETROIT, MI
(42.35998216, -83.24082603)"
241,10/15/2016,SAT,2:30:00 AM,2,1610150035,"114XX MENDOTA
DETROIT, MI
(42.36590765, -83.16429794)"
242,10/16/2016,SUN,1:00:00 AM,12,1610160026,"166XX TULLER
DETROIT, MI
(42.33168, -83.048)"
243,10/16/2016,SUN,4:00:00 AM,2,1610160033,"143XX ARDMORE
DETROIT, MI
(42.41859195, -83.1847623)"
244,8/28/2016,SUN,2:30:00 AM,9,1608280044,"197XX TEPPERT
DETROIT, MI
(42.42708912, -83.00803981)"
245,10/16/2016,SUN,2:00:00 AM,12,1610160041,"LIVERNOIS AND MCNICHOLS
DETROIT, MI
(42.417144, -83.140911)"
246,10/18/2016,TUES,8:30:00 PM,7,1610180354,"79XX CHARLEVOIX
DETROIT, MI
(42.36671237, -82.99267674)"
247,10/19/2016,WED,8:00:00 PM,4,1610190368,"S. BEATRICE AND VISGER
DETROIT, MI
(42.266016, -83.1565215)"
248,10/20/2016,THURS,8:00:00 AM,6,1610200455,"99XX MANSFIELD
DETROIT, MI
(42.33168, -83.048)"
249,10/22/2016,SAT,5:30:00 AM,11,1610220101,"202XX WEXFORD
DETROIT, MI
(42.4284082, -83.06518224)"
250,10/22/2016,SAT,1:00:00 PM,4,1610220142,"1XX SOUTH GREEN
DETROIT, MI
(42.401088, -82.92513375)"
251,10/23/2016,SUN,6:00:00 PM,4,1610230240,"RISDON AND W. GRAND BLVD
DETROIT, MI
(42.328719, -83.093427)"
252,10/24/2016,MON,1:00:00 AM,5,1610240016,"SOMERSET AVE AND CORNWELL
DETROIT, MI
(42.397785, -82.9467225)"
253,10/24/2016,MON,11:30:00 AM,5,1610240145,"300XX LAKEVIEW
DETROIT, MI
(42.39790417, -82.96598018)"
254,10/29/2016,SAT,7:30:00 AM,2,1610290411,"162XX CRUSE
DETROIT, MI
(42.401088, -82.92513375)"
255,10/29/2016,SAT,7:30:00 PM,10,1610290622,"W. GRAND BLVD AND DEXTER
DETROIT, MI
(42.357114, -83.1088305)"
256,10/30/2016,SUN,3:30:00 AM,10,1610300092,"SCOTTEN AND W. WARREN
DETROIT, MI
(42.34473, -83.1110445)"
257,10/31/2016,MON,7:00:00 PM,4,1610310308,"51XX 28TH STREET
DETROIT, MI
(42.33726766, -83.10914015)"
258,11/1/2016,TUES,10:00:00 AM,4,1611010109,"JOHN KRONK AND MARTIN
DETROIT, MI
(42.323373, -83.1218625)"
259,11/3/2016,THURS,1:30:00 AM,6,1611030023,"86XX BURT
DETROIT, MI
(42.401088, -82.92513375)"
260,11/3/2016,THURS,4:00:00 AM,5,1611030030,"36XX CHATSWORTH
DETROIT, MI
(42.4081755, -82.9509525)"
261,11/3/2016,THURS,7:00:00 PM,10,1611030338,"CORTLAND AND WOODROW WILSON
DETROIT, MI
(42.391071, -83.106711)"
262,11/5/2016,SAT,6:00:00 AM,4,1611050048,"16XX S. LIDDESDALE
DETROIT, MI
(42.27143998, -83.15502557)"
263,11/5/2016,SAT,6:00:00 AM,4,1611050048,"16XX S. LIDDESDALE
DETROIT, MI
(42.27143998, -83.15502557)"
264,11/6/2016,SUN,7:30:00 PM,9,1611060267,"43XX CHATSWORTH
DETROIT, MI
(42.4081755, -82.9509525)"
265,11/6/2016,SUN,9:00:00 PM,9,1611060295,"1480XX TACOMA
DETROIT, MI
(42.33168, -83.048)"
266,11/9/2016,WED,9:00:00 PM,4,1611090411,"16XX BASSETT
DETROIT, MI
(42.2778447, -83.14244544)"
267,11/10/2016,THURS,10:00:00 PM,11,1611100330,"93XX ST. CYRIL
DETROIT, MI
(42.39396099, -83.02726213)"
268,11/11/2016,FRI,9:30:00 PM,4,1611110350,"PROCTOR AND MCGRAW
DETROIT, MI
(42.336126, -83.139183)"
269,11/13/2016,SUN,8:30:00 AM,11,1611130084,"201XX OMIRA
DETROIT, MI
(42.401088, -82.92513375)"
270,11/15/2016,TUES,12:00:00 AM,9,1611150014,"180XX GRUEBNER
DETROIT, MI
(42.43163331, -83.01175474)"
271,11/16/2016,THURS,6:30:00 PM,12,1611170371,"176XX PENNINGTON
DETROIT, MI
(42.42787913, -83.148011)"
272,11/18/2016,FRI,3:00:00 AM,12,1611180033,"171XX WARD
DETROIT, MI
(42.401088, -82.92513375)"
273,11/19/2016,SAT,6:30:00 PM,7,1611190264,"HOLCOMB AND CHAPPIN
DETROIT, MI
(42.384825, -83.005893)"
274,11/23/2016,WED,8:30:00 PM,12,1611230315,"163XX LOG CABIN
DETROIT, MI
(42.40766734, -83.12138288)"
275,11/24/2016,THURS,12:16:00 AM,9,1611240011,"1120XX MORANG
DETROIT, MI
(42.33168, -83.048)"
276,11/22/2016,TUES,6:35:00 PM,3,1611220305,"LINCOLN AND BRAINARD
DETROIT, MI
(42.343047, -83.072151)"
277,11/25/2016,FRI,4:00:00 PM,2,1611250032,"TYLER AND LAUDER
DETROIT, MI
(42.383988, -83.1903435)"
278,11/26/2016,SAT,10:15:00 PM,9,1611260299,"MILE AND GRUEBNER
DETROIT, MI
(42.43163331, -83.01175474)"
279,11/27/2016,SUN,3:00:00 AM,9,1611270044,"119XX LAING
DETROIT, MI
(42.401088, -82.92513375)"
280,11/27/2016,SUN,6:30:00 PM,8,1611270248,"195XX W. 7 MILE
DETROIT, MI
(42.43354999, -83.04310999)"
281,11/25/2016,FRI,3:30:00 AM,2,1611250208,"91XX WARD
DETROIT, MI
(42.401088, -82.92513375)"
282,11/30/2016,WED,1:50:00 PM,11,1611300215,"172XX JOS CAMPAU
DETROIT, MI
(42.33168, -83.048)"
283,11/30/2016,WED,9:25:00 PM,10,1611300377,"1260XX DEXTER
DETROIT, MI
(42.33168, -83.048)"
284,11/30/2016,WED,7:00:00 PM,2,1612010056,"149XX GREENFIELD
DETROIT, MI
(42.33168, -83.048)"
285,12/1/2016,THURS,10:10:00 PM,12,1612010337,"173XX SNOWDEN
DETROIT, MI
(42.41827702, -83.17750396)"
286,12/2/2016,FRI,2:10:00 AM,8,1612020011,"172XX HUNTINGTON
DETROIT, MI
(42.41590768, -83.23312625)"
287,12/3/2016,SAT,5:30:00 AM,12,1612030094,"200XX MARK TWAIN
DETROIT, MI
(42.33168, -83.048)"
288,12/3/2016,SAT,9:30:00 PM,4,1612030318,"FERRIS AND W.VERNOR
DETROIT, MI
(42.30954, -83.13183)"
289,12/4/2016,SUN,8:00:00 PM,8,1612040282,"193XX RUTHERFORD
DETROIT, MI
(42.37156377, -83.20224652)"
290,12/5/2016,MON,1:00:00 PM,8,1612050191,"242XX W. 7 MILE
DETROIT, MI
(42.43354999, -83.04310999)"
291,12/9/2016,FRI,3:00:00 AM,9,1612090033,"202XX WESTPHALIA
DETROIT, MI
(42.43398972, -82.9923769)"
292,12/17/2016,SAT,1:00:00 AM,4,1612170020,"950XX MICHIGAN AVE
DETROIT, MI
(42.33168, -83.048)"
293,12/18/2016,SUN,3:00:00 AM,9,1612180050,"140XX TACOMA
DETROIT, MI
(42.33168, -83.048)"
294,12/19/2016,MON,9:00:00 PM,6,1612190302,"121XX STOUT
DETROIT, MI
(42.401088, -82.92513375)"
295,12/20/2016,TUES,6:00:00 PM,8,1612200286,"2030XX PIERSON
DETROIT, MI
(42.33168, -83.048)"
296,12/20/2016,TUES,6:00:00 PM,8,1612200286,"2030XX PIERSON
DETROIT, MI
(42.33168, -83.048)"
297,12/24/2016,SAT,10:30:00 PM,9,1612240282,"149XX LONGVIEW
DETROIT, MI
(42.40736915, -82.9796595)"
298,12/25/2016,SUN,2:00:00 AM,9,16-1225-0032,"1220XX HARPER
DETROIT, MI
(42.33168, -83.048)"
299,12/26/2016,MON,3:00:00 AM,2,16-1226-0045,"123XX INDIANA
DETROIT, MI
(42.33168, -83.048)"
300,12/29/2016,THURS,7:45:00 PM,9,1612290380,"148XX FORDHAM
DETROIT, MI
(42.4344962, -82.96814255)"
301,12/30/2016,SAT,10:00:00 PM,9,1612310328,"110XX MINDEN
DETROIT, MI
(42.33168, -83.048)"
